Ticker,Name
PINE,Alpine Income Property Trust Inc
DMTK,DermTech Inc
IVAC,"Intevac, Inc."
SBFG,SB Financial Group Inc
ALSK,Alaska Communications Systems Group Inc
CIZN,Citizens Holding Co
RDVT,Red Violet Inc
ELMD,Electromed Inc.
PLBC,Plumas Bancorp.
CBIO,Catalyst Biosciences Inc
VNRX,VolitionRX Ltd
ORGS,Orgenesis Inc
SAL,"Salisbury Bancorp, Inc."
PFSW,PFSWEB Inc
REFR,Research Frontiers Inc.
CALB,California Bancorp
RVP,Retractable Technologies Inc
AQST,Aquestive Therapeutics Inc
XONE,ExOne Co
GNPX,Genprex Inc
CFRX,ContraFect Corp
SMED,Sharps Compliance Corp.
MHH,Mastech Digital Inc
VTOL,Bristow Group Inc.
APTX,Aptinyx Inc
EARN,Ellington Residential Mortgage REIT
ICBK,County Bancorp Inc
XAIR,Beyond Air Inc
FCCO,First Community Corp.
CSPR,Casper Sleep Inc
CBFV,CB Financial Services Inc
FUNC,First United Corporation
AMRK,A-Mark Precious Metals Inc
CNTG,Centogene NV
ETON,Eton Pharmaceuticals Inc
AGFS,AgroFresh Solutions Inc
OESX,Orion Energy Systems Inc
SAVA,Cassava Sciences Inc
FSFG,First Savings Financial Group Inc
KERN,Akerna Corp
EBMT,Eagle Bancorp Montana Inc
STND,Standard AVB Financial Corp
PAVM,PAVmed Inc
MYFW,First Western Financial Inc
MLSS,Milestone Scientific Inc.
MRBK,Meridian Corp
TELA,TELA Bio Inc
LARK,Landmark Bancorp Inc
FVE,Five Star Senior Living Inc.
SLNO,Soleno Therapeutics Inc
PFHD,Professional Holding Corp
ATXI,Avenue Therapeutics Inc
AVEO,AVEO Pharmaceuticals Inc
NMRD,Nemaura Medical Inc
GRTX,Galera Therapeutics Inc
VERO,Venus Concept Inc
LMST,Limestone Bancorp Inc
ASUR,Asure Software Inc
ETNB,89bio Inc
CSBR,Champions Oncology Inc
CEMI,Chembio Diagnostics Inc.
XGN,Exagen Inc
BSBK,Bogota Financial Corp
NSCO,Custom Truck One Source Inc
AE,Adams Resources & Energy Inc.
TARA,Protara Therapeutics Inc
IMUX,Immunic Inc
BLPH,Bellerophon Therapeutics Inc
LYRA,Lyra Therapeutics Inc
ELA,Envela Corp
SNFCA,Security National Financial Corp.
ULBI,Ultralife Corp
ATLC,Atlanticus Holdings Corp
SCPH,scPharmaceuticals Inc
PCYG,"Park City Group, Inc."
AYTU,Aytu BioPharma Inc
SEAC,Seachange International Inc.
KODK,Eastman Kodak Co.
SWKH,Swk Holdings Corp
CWBR,CohBar Inc
NRBO,NeuroBo Pharmaceuticals Inc
OFED,Oconee Federal Financial Corp
VTVT,vTv Therapeutics Inc
CHK,Chesapeake Energy Corp.
AAN,Aarons Company Inc (The)
AAOI,Applied Optoelectronics Inc
AAON,AAON Inc.
AAT,American Assets Trust Inc
AAWW,Atlas Air Worldwide Holdings Inc.
ABCB,Ameris Bancorp
ABEO,Abeona Therapeutics Inc
ABG,Asbury Automotive Group Inc
ABM,ABM Industries Inc.
ABTX,Allegiance Bancshares Inc
AC,Associated Capital Group Inc
ACA,Arcosa Inc
ACBI,Atlantic Capital Bancshares Inc
ACCO,Acco Brands Corporation
ACIA,Acacia Communications Inc
ACIW,ACI Worldwide Inc
ACLS,Axcelis Technologies Inc
ACNB,ACNB Corp.
ACRE,Ares Commercial Real Estate Corp
ACRX,Acelrx Pharmaceuticals Inc
ACTG,Acacia Research Corp
ADC,Agree Realty Corp.
ADES,Advanced Emissions Solutions Inc
ADMA,Adma Biologics Inc
ADNT,Adient plc
ADTN,Adtran Inc.
ADUS,Addus HomeCare Corporation
ADVM,Adverum Biotechnologies Inc
AEGN,Aegion Corp
AEIS,Advanced Energy Industries Inc.
AEL,American Equity Investment Life Holding Co
AEO,American Eagle Outfitters Inc.
AERI,Aerie Pharmaceuticals Inc
AFIN,American Fin Tr Inc
AFMD,Affimed N.V.
AGEN,Agenus Inc
AGLE,Aeglea BioTherapeutics Inc
AGM,Federal Agricultural Mortgage Corp.
AGS,PlayAGS Inc
AGX,"Argan, Inc."
AGYS,"Agilysys, Inc"
AHH,Armada Hoffler Properties Inc
AI,C3.ai Inc
AIMC,Altra Industrial Motion Corp
AIMT,Aimmune Therapeutics Inc
AIN,Albany International Corp.
AIR,AAR Corp.
AIT,Applied Industrial Technologies Inc.
AJRD,Aerojet Rocketdyne Holdings Inc
AJX,Great Ajax Corp
AKBA,Akebia Therapeutics Inc.
AKCA,Akcea Therapeutics Inc
AKR,Acadia Realty Trust
AKRO,Akero Therapeutics Inc
AKTS,Akoustis Technologies Inc
ALBO,Albireo Pharma Inc
ALCO,Alico Inc.
ALE,"Allete, Inc."
ALEC,Alector Inc
ALEX,Alexander & Baldwin Inc.
ALG,Alamo Group Inc.
ALGT,Allegiant Travel
ALLK,Allakos Inc
ALLO,Allogene Therapeutics Inc
ALRM,Alarm.com Holdings Inc
ALTR,Altair Engineering Inc
ALX,Alexander`s Inc.
AMAL,Amalgamated Financial Corp
AMBA,Ambarella Inc
AMBC,AMBAC Financial Group Inc.
AMC,AMC Entertainment Holdings Inc
AMEH,Apollo Medical Holdings Inc
AMK,Assetmark Financial Holdings Inc
AMKR,AMKOR Technology Inc.
AMN,AMN Healthcare Services Inc.
AMNB,American National Bankshares Inc.
AMOT,Allied Motion Technologies Inc
AMPH,Amphastar Pharmaceuticals Inc
AMRC,Ameresco Inc.
AMRS,Amyris Inc
AMRX,Amneal Pharmaceuticals Inc
AMSC,American Superconductor Corp.
AMSF,Amerisafe Inc
AMSWA,American Software Inc.
AMTB,Amerant Bancorp Inc
AMWD,American Woodmark Corp.
ANAB,AnaptysBio Inc
ANDE,Andersons Inc.
ANF,Abercrombie & Fitch Co.
ANGO,Angiodynamic Inc
ANH,Anworth Mortgage Asset Corp.
ANIK,Anika Therapeutics Inc.
ANIP,ANI Pharmaceuticals Inc
AOSL,Alpha & Omega Semiconductor Ltd
APAM,Artisan Partners Asset Management Inc
APEI,American Public Education Inc
APLS,Apellis Pharmaceuticals Inc
APOG,Apogee Enterprises Inc.
APPF,Appfolio Inc
APPN,Appian Corp
APPS,Digital Turbine Inc
APTS,Preferred Apartment Communities Inc
APYX,Apyx Medical Corp
AQUA,Evoqua Water Technologies Corp
ARA,American Renal Associates Holdings Inc.
ARAY,Accuray Inc
ARCB,ArcBest Corp
ARCH,Arch Resources Inc
ARDX,Ardelyx Inc
ARGO,Argo Group International Holdings Ltd
ARI,Apollo Commercial Real Estate Finance Inc
ARL,American Realty Investors Inc.
ARLO,Arlo Technologies Inc
ARNA,Arena Pharmaceuticals Inc
AROC,Archrock Inc
AROW,Arrow Financial Corp.
ARR,ARMOUR Residential REIT Inc
ARTNA,Artesian Resources Corp.
ARVN,Arvinas Inc
ARWR,Arrowhead Pharmaceuticals Inc.
ASC,Ardmore Shipping Corp
ASGN,ASGN Inc
ASIX,AdvanSix Inc
ASMB,Assembly Biosciences Inc
ASPS,Altisource Portfolio Solutions S.A.
ASTE,Astec Industries Inc.
AT,Atlantic Power Corp.
ATEC,Alphatec Holdings Inc
ATEN,A10 Networks Inc
ATEX,Anterix Inc
ATGE,Adtalem Global Education Inc
ATHX,Athersys Inc
ATI,Allegheny Technologies Inc
ATKR,Atkore Inc
ATLO,Ames National Corp.
ATNI,ATN International Inc
ATNX,Athenex Inc
ATRA,Atara Biotherapeutics Inc
ATRC,Atricure Inc
ATRI,Atrion Corp.
ATRO,Astronics Corp.
ATRS,Antares Pharma Inc
ATSG,Air Transport Services Group Inc
AUB,Atlantic Union Bankshares Corp
AVA,Avista Corp.
AVAV,AeroVironment Inc.
AVCO,Avalon GloboCare Corp
AVD,American Vanguard Corp.
AVID,"Avid Technology, Inc."
AVNS,Avanos Medical Inc
AVRO,AvroBio Inc
AVXL,Anavex Life Sciences Corporation
AVYA,Avaya Holdings Corp.
AWR,American States Water Co.
AX,Axos Financial Inc.
AXDX,Accelerate Diagnostics Inc
AXGN,Axogen Inc.
AXL,American Axle & Manufacturing Holdings Inc
AXLA,Axcella Health Inc
AXNX,Axonics Inc
AXSM,Axsome Therapeutics Inc
AXTI,AXT Inc
AZZ,AZZ Inc
B,Barnes Group Inc.
BANC,Banc of California Inc
BAND,Bandwidth Inc
BANF,Bancfirst Corp.
BANR,Banner Corp.
BATRA,Liberty Media Corp.
BATRK,Liberty Media Corp.
BBBY,"Bed, Bath & Beyond Inc."
BBCP,Concrete Pumping Holdings Inc
BBIO,BridgeBio Pharma Inc
BBSI,Barrett Business Services Inc.
BCBP,BCB Bancorp Inc (NJ)
BCC,Boise Cascade Co
BCEI,Bonanza Creek Energy Inc
BCEL,Atreca Inc
BCML,BayCom Corp
BCO,Brink`s Co.
BCOR,Blucora Inc
BCOV,Brightcove Inc
BCPC,Balchem Corp.
BCRX,Biocryst Pharmaceuticals Inc.
BDC,Belden Inc
BDGE,"Bridge Bancorp, Inc."
BDSI,Biodelivery Sciences International
BE,Bloom Energy Corp
BEAT,BioTelemetry Inc
BECN,Beacon Roofing Supply Inc
BELFB,Bel Fuse Inc.
BFC,Bank First Corp
BFIN,Bankfinancial Corp
BFS,"Saul Centers, Inc."
BFST,Business First Bancshares Inc.
BGS,"B&G Foods, Inc"
BGSF,BGSF Inc
BH,Biglari Holdings Inc.
BHB,Bar Harbor Bankshares Inc
BHE,Benchmark Electronics Inc.
BHLB,Berkshire Hills Bancorp Inc.
BHVN,Biohaven Pharmaceutical Holding Company Ltd
BIG,Big Lots Inc
BJ,BJ`s Wholesale Club Holdings Inc
BJRI,BJ`s Restaurant Inc.
BKD,Brookdale Senior Living Inc
BKE,"Buckle, Inc."
BKH,Black Hills Corporation
BL,BlackLine Inc
BLBD,Blue Bird Corp
BLD,TopBuild Corp
BLDR,Builders Firstsource Inc
BLFS,Biolife Solutions Inc
BLKB,Blackbaud Inc
BLMN,Bloomin Brands Inc
BLX,Banco Latinoamericano De Comercio Exterior SA
BMCH,BMC Stock Holdings Inc
BMI,Badger Meter Inc.
BMRC,Bank of Marin Bancorp
BMTC,Bryn Mawr Bank Corp.
BNFT,Benefitfocus Inc
BOCH,Bank of Commerce Holdings
BOMN,Boston Omaha Corp
BOOM,DMC Global Inc
BOOT,Boot Barn Holdings Inc
BOX,Box Inc
BPFH,Boston Private Financial Holdings Inc
BPMC,Blueprint Medicines Corp
BPRN,Bank of Princeton
BRC,Brady Corp.
BRG,Bluerock Residential Growth REIT Inc
BRID,Bridgford Foods Corporation
BRKL,"Brookline Bancorp, Inc."
BRKS,"Brooks Automation, Inc."
BRT,BRT Apartments Corp
BRY,Berry Corp
BSGM,Biosig Technologies Inc
BSIG,BrightSphere Investment Group Inc
BSRR,Sierra Bancorp
BSTC,Biospecifics Technologies Corp.
BSVN,Bank7 Corp
BTAI,BioXcel Therapeutics Inc
BTU,Peabody Energy Corp.
BUSE,First Busey Corp.
BV,BrightView Holdings Inc
BWB,Bridgewater Bancshares Inc
BWFG,Bankwell Financial Group Inc
BXG,Bluegreen Vacations Corp
BXMT,Blackstone Mortgage Trust Inc
BXS,BancorpSouth Bank
BY,Byline Bancorp Inc
BYD,Boyd Gaming Corp.
BYSI,BeyondSpring Inc
BZH,Beazer Homes USA Inc.
CAC,Camden National Corp.
CADE,Cadence Bancorporation
CAI,Cai International Inc
CAKE,Cheesecake Factory Inc.
CAL,Caleres Inc
CALA,Calithera Biosciences Inc
CALM,"Cal-Maine Foods, Inc."
CALX,Calix Inc
CAMP,Calamp Corp.
CAR,Avis Budget Group Inc
CARA,Cara Therapeutics Inc
CARE,Carter Bankshares Inc
CARG,CarGurus Inc
CARS,Cars.com
CASA,Casa Systems Inc
CASH,Meta Financial Group Inc.
CASI,CASI Pharmaceuticals Inc
CASS,Cass Information Systems Inc
CATC,Cambridge Bancorp
CATM,Cardtronics plc
CATO,Cato Corp.
CATY,Cathay General Bancorp
CBAN,"Colony Bankcorp, Inc."
CBAY,Cymabay Therapeutics Inc
CBB,"Cincinnati Bell, Inc."
CBMG,Cellular Biomedicine Group Inc
CBNK,Capital Bancorp Inc
CBRL,Cracker Barrel Old Country Store Inc
CBTX,CBTX Inc
CBU,"Community Bank System, Inc."
CBZ,Cbiz Inc
CCB,Coastal Financial Corp
CCBG,"Capital City Bank Group, Inc."
CCF,Chase Corp.
CCMP,CMC Materials Inc
CCNE,CNB Financial Corp (PA)
CCOI,Cogent Communications Holdings Inc
CCRN,"Cross Country Healthcares, Inc."
CCS,Century Communities Inc
CCXI,ChemoCentryx Inc
CDE,Coeur Mining Inc
CDLX,Cardlytics Inc
CDMO,Avid Bioservices Inc
CDNA,Caredx Inc
CDXC,Chromadex Corp
CDXS,Codexis Inc.
CDZI,Cadiz Inc.
CECE,Ceco Environmental Corp.
CEIX,Consol Energy Inc
CELH,Celsius Holdings Inc
CENT,Central Garden & Pet Co.
CENTA,Central Garden & Pet Co.
CENX,Century Aluminum Co.
CERC,Cerecor Inc
CERS,Cerus Corp.
CEVA,Ceva Inc.
CFB,Crossfirst Bankshares Inc
CFFI,C & F Financial Corp
CFFN,Capitol Federal Financial
CHCO,City Holding Co.
CHCT,Community Healthcare Trust Inc
CHDN,"Churchill Downs, Inc."
CHEF,Chefs` Warehouse Inc
CHMA,Chiasma Inc
CHMG,Chemung Financial Corp.
CHMI,Cherry Hill Mortgage Investment Corporation
CHRS,Coherus Biosciences Inc
CHS,"Chico`s Fas, Inc."
CHUY,Chuy`s Holdings Inc
CIA,"Citizens, Inc."
CIO,City Office REIT Inc
CIR,Circor International Inc
CIVB,Civista Bancshares Inc
CKH,SEACOR Holdings Inc
CKPT,Checkpoint Therapeutics Inc
CLAR,Clarus Corp
CLBK,"Columbia Financial, Inc"
CLCT,Collectors Universe Inc
CLDR,Cloudera Inc
CLDT,Chatham Lodging Trust
CLF,Cleveland-Cliffs Inc
CLFD,Clearfield Inc
CLI,Mack-Cali Realty Corp.
CLNC,Colony Credit Real Estate Inc
CLNE,Clean Energy Fuels Corp
CLPR,Clipper Realty Inc
CLVS,Clovis Oncology Inc
CLW,Clearwater Paper Corp
CLXT,Calyxt Inc
CMBM,Cambium Networks Corp
CMC,Commercial Metals Co.
CMCO,Columbus Mckinnon Corp.
CMCT,CIM Commercial Trust Corp
CMO,Capstead Mortgage Corp.
CMP,Compass Minerals International Inc
CMPR,Cimpress plc
CMRE,Costamare Inc
CMRX,Chimerix Inc
CMTL,Comtech Telecommunications Corp.
CNBKA,"Century Bancorp, Inc."
CNCE,Concert Pharmaceuticals Inc
CNDT,Conduent Inc
CNMD,Conmed Corp.
CNNE,Cannae Holdings Inc
CNO,CNO Financial Group Inc
CNOB,ConnectOne Bancorp Inc.
CNR,Cornerstone Building Brands Inc
CNS,Cohen & Steers Inc.
CNSL,Consolidated Communications Holdings Inc
CNST,Constellation Pharmaceuticals Inc
CNTY,Century Casinos Inc.
CNX,CNX Resources Corp
CNXN,"PC Connection, Inc."
COHU,"Cohu, Inc."
COKE,Coca-Cola Consolidated Inc
COLB,"Columbia Banking System, Inc."
COLL,Collegium Pharmaceutical Inc
CONN,Conns Inc
COOP,Mr. Cooper Group Inc
CORE,Core-Mark Hldg Co Inc
CORR,CorEnergy Infrastructure Trust Inc
CORT,Corcept Therapeutics Inc
COWN,Cowen Inc
CPF,Central Pacific Financial Corp.
CPK,Chesapeake Utilities Corp
CPLG,CorePoint Lodging Inc
CPRX,Catalyst Pharmaceuticals Inc
CPS,Cooper-Standard Holdings Inc
CPSI,Computer Programs & Systems Inc
CRAI,CRA International Inc.
CRBP,Corbus Pharmaceuticals Holdings Inc
CRC,California Resources Corporation
CRD-A,Crawford & Co.
CRK,"Comstock Resources, Inc."
CRMD,CorMedix Inc
CRMT,"Americas Car Mart, Inc."
CRNX,Crinetics Pharmaceuticals Inc
CROX,Crocs Inc
CRS,Carpenter Technology Corp.
CRTX,Cortexyme Inc
CRVL,Corvel Corp.
CRY,"Cryolife, Inc."
CSGS,CSG Systems International Inc.
CSII,Cardiovascular Systems Inc.
CSOD,Cornerstone OnDemand Inc
CSTE,Caesarstone Ltd
CSTL,Castle Biosciences Inc
CSTR,CapStar Financial Holdings Inc
CSV,"Carriage Services, Inc."
CSWI,CSW Industrials Inc
CTB,Cooper Tire & Rubber Co.
CTBI,"Community Trust Bancorp, Inc."
CTMX,CytomX Therapeutics Inc
CTO,CTO Realty Growth Inc
CTRE,CareTrust REIT Inc
CTRN,Citi Trends Inc
CTS,CTS Corp.
CTSO,Cytosorbents Corp
CTT,CatchMark Timber Trust Inc
CUB,Cubic Corp.
CUBI,Customers Bancorp Inc
CUE,Cue Biopharma Inc
CURO,CURO Group Holdings Corp
CUTR,Cutera Inc
CVA,Covanta Holding Corporation
CVBF,CVB Financial Corp.
CVCO,Cavco Industries Inc
CVCY,Central Valley Community Bancorp
CVGW,"Calavo Growers, Inc"
CVI,CVR Energy Inc
CVLT,Commvault Systems Inc
CVLY,"Codorus Valley Bancorp, Inc."
CVM,Cel-Sci Corp.
CWCO,Consolidated Water Co. Ltd.
CWEN,Clearway Energy Inc
CWEN-A,Clearway Energy Inc
CWH,Camping World Holdings Inc
CWK,Cushman & Wakefield plc
CWST,"Casella Waste Systems, Inc."
CWT,California Water Service Group
CXW,CoreCivic Inc
CYCN,Cyclerion Therapeutics Inc
CYH,"Community Health Systems, Inc."
CYRX,CryoPort Inc
CYTK,Cytokinetics Inc
CZNC,Citizens & Northern Corp
DAKT,Daktronics Inc.
DAN,Dana Inc
DAR,Darling Ingredients Inc
DBD,Diebold Nixdorf Inc
DBI,Designer Brands Inc
DCO,Ducommun Inc.
DCOM,Dime Community Bancshares Inc
DCPH,Deciphera Pharmaceuticals Inc
DDD,3D Systems Corp.
DDS,Dillard`s Inc.
DEA,Easterly Government Properties Inc
DECK,Deckers Outdoor Corp.
DENN,Denny`s Corp.
DFIN,Donnelley Financial Solutions Inc
DGICA,Donegal Group Inc.
DGII,"Digi International, Inc."
DHIL,"Diamond Hill Investment Group, Inc."
DHT,DHT Holdings Inc
DHX,DHI Group Inc
DIN,Dine Brands Global Inc
DIOD,"Diodes, Inc."
DJCO,Daily Journal Corporation
DK,Delek US Holdings Inc
DLTH,Duluth Holdings Inc
DLX,Deluxe Corp.
DMRC,Digimarc Corporation
DNLI,Denali Therapeutics Inc
DNOW,NOW Inc
DOC,Physicians Realty Trust
DOMO,Domo Inc.
DOOR,Masonite International Corp
DORM,Dorman Products Inc
DRH,Diamondrock Hospitality Co.
DRNA,Dicerna Pharmaceuticals Inc
DRQ,"Dril-Quip, Inc."
DSKE,Daseke Inc
DSPG,"DSP Group, Inc."
DSSI,Diamond S Shipping Inc
DTIL,Precision Biosciences Inc
DVAX,Dynavax Technologies Corp.
DX,"Dynex Capital, Inc."
DXPE,"DXP Enterprises, Inc."
DY,"Dycom Industries, Inc."
DZSI,DZS Inc
EAT,"Brinker International, Inc."
EB,Eventbrite Inc
EBF,Ennis Inc.
EBIX,Ebix Inc.
EBS,Emergent Biosolutions Inc
EBSB,Meridian Bancorp Inc
EBTC,"Enterprise Bancorp, Inc."
ECHO,Echo Global Logistics Inc
ECOL,US Ecology Inc.
ECOM,ChannelAdvisor Corp
ECPG,"Encore Capital Group, Inc."
EDIT,Editas Medicine Inc
EEX,Emerald Holding Inc
EFC,Ellington Financial Inc
EFSC,Enterprise Financial Services Corp.
EGAN,eGain Corp
EGBN,Eagle Bancorp Inc (MD)
EGHT,8X8 Inc.
EGLE,Eagle Bulk Shipping Inc
EGOV,NIC Inc
EGP,"Eastgroup Properties, Inc."
EGRX,Eagle Pharmaceuticals Inc
EHTH,eHealth Inc
EIDX,Eidos Therapeutics Inc
EIG,Employers Holdings Inc
EIGI,Endurance International Group Holdings Inc
EIGR,Eiger BioPharmaceuticals Inc
ELF,e.l.f. Beauty Inc
ELOX,Eloxx Pharmaceuticals Inc
ELY,Callaway Golf Co.
EME,"Emcor Group, Inc."
EML,Eastern Co.
ENDP,Endo International plc
ENOB,Enochian Biosciences Inc
ENS,Enersys
ENSG,Ensign Group Inc
ENTA,Enanta Pharmaceuticals Inc
ENV,Envestnet Inc.
ENVA,Enova International Inc.
ENZ,"Enzo Biochem, Inc."
EOLS,Evolus Inc
EPAY,Bottomline Technologies (Delaware) Inc
EPC,Edgewell Personal Care Co
EPM,Evolution Petroleum Corporation
EPRT,Essential Properties Realty Trust Inc
EPZM,Epizyme Inc
EQBK,Equity Bancshares Inc
ERII,Energy Recovery Inc
ESCA,"Escalade, Inc."
ESE,"Esco Technologies, Inc."
ESGR,Enstar Group Limited
ESNT,Essent Group Ltd
ESPR,Esperion Therapeutics Inc.
ESQ,Esquire Financial Holdings Inc
ESSA,ESSA Bancorp Inc
ESTE,Earthstone Energy Inc
ESXB,Community Bankers Trust Corp
ETH,"Ethan Allen Interiors, Inc."
ETM,Entercom Communications Corp
EVBN,Evans Bancorp Inc
EVC,Entravision Communications Corp.
EVER,EverQuote Inc
EVFM,Evofem Biosciences Inc
EVH,Evolent Health Inc
EVI,EVI Industries Inc
EVLO,Evelo Biosciences Inc
EVOP,EVO Payments Inc
EVRI,Everi Holdings Inc
EVTC,Evertec Inc
EXLS,Exlservice Hldgs Inc
EXPI,eXp World Holdings Inc
EXPO,Exponent Inc.
EXPR,Express Inc.
EXTN,Exterran Corp
EXTR,Extreme Networks Inc.
EYE,National Vision Holdings Inc
EZPW,"EZCorp, Inc."
FARM,Farmer Bros. Co.
FARO,Faro Technologies Inc.
FATE,Fate Therapeutics Inc
FBC,"Flagstar Bancorp, Inc."
FBIZ,First Business Financial Services Inc
FBK,FB Financial Corp
FBM,Foundation Building Materials Inc
FBMS,First Bancshares Inc Miss
FBNC,First Bancorp
